src,dst,shapley_raw,shapley_normalized
397,2513,42.49203586578369,4.892834308711914e-05
445,4976,42.49171447753906,4.8927973017905534e-05
1741,2195,42.40573310852051,4.88289679729195e-05
1506,3123,42.33467674255371,4.8747148634737425e-05
714,4794,42.322086334228516,4.8732651145841206e-05
538,6516,42.29653549194336,4.870323009429541e-05
794,1484,42.28407669067383,4.8688884147094966e-05
5162,5281,42.26636981964111,4.866849520024327e-05
1380,5787,42.24848699569702,4.8647903648733075e-05
120,426,42.234389305114746,4.863167056816889e-05
70,5516,42.21603012084961,4.8610530501607674e-05
160,535,42.215091705322266,4.8609449943429074e-05
232,394,42.20558452606201,4.859850270310136e-05
1,22,42.19309902191162,4.858412600831047e-05
216,875,42.14104080200195,4.85241824826039e-05
1271,3589,42.11840343475342,4.849811621280163e-05
575,5744,42.00462293624878,4.836710127896691e-05
1721,6304,41.958699226379395,4.831422146310165e-05
1655,2800,41.95448112487793,4.83093644419391e-05
1102,7094,41.91385269165039,4.82625819830725e-05
27,5354,41.903690338134766,4.825088032865058e-05
3411,3780,41.8824520111084,4.8226425012962136e-05
135,293,41.877126693725586,4.8220293064924226e-05
35,40,41.863670349121094,4.82047984755949e-05
1286,2789,41.82392120361328,4.815902849095662e-05
2928,4347,41.772708892822266,4.8100059004990323e-05
1641,3747,41.77163362503052,4.809882086541067e-05
1584,5426,41.74816703796387,4.8071799773112165e-05
557,5387,41.695547103881836,4.8011209449877965e-05
71,7295,41.68773651123047,4.800221577967193e-05
138,1687,41.66884231567383,4.798045966317352e-05
104,2146,41.62568378448486,4.793076387011198e-05
4,2768,41.622610092163086,4.792722460282577e-05
692,7137,41.59613513946533,4.789673946502483e-05
214,5178,41.560150146484375,4.785530379251149e-05
1725,5551,41.52844047546387,4.781879102885451e-05
1353,3534,41.51589393615723,4.780434405385688e-05
70,2357,41.48506164550781,4.7768841568171766e-05
567,1390,41.483407974243164,4.776693741382045e-05
1785,2976,41.443824768066406,4.7721358503494245e-05
1287,4508,41.43202304840088,4.770776916664447e-05
2168,4907,41.39347457885742,4.766338172544812e-05
1849,7150,41.3796329498291,4.764744349231376e-05
1919,1974,41.37954568862915,4.7647343013580694e-05
44,4877,41.35831832885742,4.762290032636689e-05
446,516,41.26780128479004,4.751867258351762e-05
117,5479,41.25659513473511,4.750576902774766e-05
240,6738,41.24695301055908,4.7494666402275366e-05
1385,5266,41.242692947387695,4.748976106347068e-05
65,2154,41.23130416870117,4.747664721614462e-05
2844,5343,41.23078918457031,4.7476054226900264e-05
188,6498,41.2163782119751,4.7459460411212425e-05
3891,5090,41.21117305755615,4.745346682733153e-05
460,6897,41.185569763183594,4.7423985378733074e-05
451,1160,41.18242263793945,4.742036155557313e-05
141,379,41.15668773651123,4.739072856527889e-05
3434,6822,41.13856029510498,4.7369855343877635e-05
1801,4501,41.13826274871826,4.7369512727869785e-05
2004,2387,41.111331939697266,4.733850268477477e-05
72,5547,41.094422340393066,4.731903177312359e-05
51,4875,41.08413219451904,4.730718296951881e-05
1321,6968,41.076107025146484,4.729794222046096e-05
1919,2592,41.07371234893799,4.7295184820474714e-05
265,5864,41.03977584838867,4.7256107927400025e-05
751,1412,41.00402355194092,4.7214940198174875e-05
